tier,new_rework,brief_type,customer_approval,niche_ff_pre_approved,strategic_priority,creative_approach,value_potential_gbp,workbook_score,workbook_approval_text,workbook_e9_creative_note,workbook_b14_auto_approval_dev
A/T,New,Exclusive,Direct,False,False,Library Only,0,200.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,1,200.0035,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,1000,203.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,30000,305.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,35000,322.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,100000,550.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,115000,602.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,200000,900.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Library Only,1000000,3700.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,0,165.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,1,165.0035,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,1000,168.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,30000,270.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,35000,287.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,100000,515.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,115000,567.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,200000,865.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Starting Point,1000000,3665.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,0,100.0,Pending Approval,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,1,100.0035,Pending Approval,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,1000,103.5,Pending Approval,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,30000,205.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,35000,222.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,100000,450.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,115000,502.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,200000,800.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,False,Creation/Unknown,1000000,3600.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,0,300.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,1,300.00350000000003,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,1000,303.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,30000,405.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,35000,422.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,100000,650.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,115000,702.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,200000,1000.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Library Only,1000000,3800.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,0,265.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,1,265.00350000000003,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,1000,268.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,30000,370.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,35000,387.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,100000,615.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,115000,667.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,200000,965.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Starting Point,1000000,3765.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,0,200.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,1,200.0035,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,1000,203.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,30000,305.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,35000,322.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,100000,550.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,115000,602.5,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,200000,900.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,False,True,Creation/Unknown,1000000,3700.0,Auto-Approved,,No
A/T,New,Exclusive,Direct,True,False,Library Only,0,200.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,1,200.0035,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,1000,203.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,30000,305.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,35000,322.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,100000,550.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,115000,602.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,200000,900.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Library Only,1000000,3700.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,0,165.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,1,165.0035,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,1000,168.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,30000,270.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,35000,287.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,100000,515.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,115000,567.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,200000,865.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Starting Point,1000000,3665.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,0,100.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,1,100.0035,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,1000,103.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,30000,205.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,35000,222.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,100000,450.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,115000,502.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,200000,800.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,False,Creation/Unknown,1000000,3600.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,0,300.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,1,300.00350000000003,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,1000,303.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,30000,405.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,35000,422.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,100000,650.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,115000,702.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,200000,1000.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Library Only,1000000,3800.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,0,265.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,1,265.00350000000003,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,1000,268.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,30000,370.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,35000,387.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,100000,615.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,115000,667.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,200000,965.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Starting Point,1000000,3765.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,0,200.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,1,200.0035,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,1000,203.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,30000,305.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,35000,322.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,100000,550.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,115000,602.5,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,200000,900.0,Auto-Approved,,Yes
A/T,New,Exclusive,Direct,True,True,Creation/Unknown,1000000,3700.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,0,200.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,1,200.003,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,1000,203.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,30000,290.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,35000,305.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,100000,500.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,115000,545.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,200000,800.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Library Only,1000000,3200.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,0,165.0,Auto-Approved,,No
